transaction_name,category_name
spectrum internet,Utilities
water bill,Utilities
albertsons,Groceries
netflix,Entertainment
lowe's home improvement,Housing
pg&e electricity bill,Utilities
panera bread,Dining Out
fitness gym membership,Health
ikea furniture,Housing
texas roadhouse,Dining Out
dental checkup,Health
meijer,Groceries
youtube premium,Entertainment
aldi,Groceries
kroger,Groceries
walgreens,Health
spotify,Entertainment
mcdonald's,Dining Out
shell gas station,Transportation
property tax,Housing
airbnb stay,Housing
solarcity energy,Utilities
parking garage,Transportation
delta airlines,Transportation
walmart supercenter,Groceries
hulu,Entertainment
uber eats delivery fee,Transportation
comcast xfinity,Utilities
chipotle,Dining Out
waste management,Utilities
apple music,Entertainment
verizon wireless,Utilities
subway,Dining Out
electric company payment,Utilities
disney+,Entertainment
cvs pharmacy,Health
vision express,Health
bp gas,Transportation
mortgage payment,Groceries
ihop,Dining Out
five guys,Dining Out
urgent care visit,Health
wayfair,Housing
doctor appointment,Health
domino's pizza,Dining Out
xbox live subscription,Entertainment
costco,Groceries
american airlines,Transportation
rent payment,Housing
uber,Transportation
at&t internet,Utilities
physical therapy,Health
bluecross insurance,Health
amazon prime video,Entertainment
playstation plus,Entertainment
kaiser permanente,Dining Out
whole foods,Groceries
publix,Groceries
metro transit,Transportation
heating gas bill,Utilities
starbucks coffee,Dining Out
tesla supercharger,Transportation
trader joe's,Groceries
movie theater,Entertainment
apartment maintenance,Housing
kfc,Dining Out
food lion,Groceries
chevron,Transportation
amc theaters,Entertainment
home depot,Housing
dunkin donuts,Dining Out
chick-fil-a,Dining Out
buffalo wild wings,Dining Out
amtrak train,Transportation
concert ticketmaster,Entertainment
lyft,Transportation
olive garden,Dining Out
target grocery,Groceries
nintendo eshop,Entertainment
home insurance,Housing
car wash express,Transportation
taco bell,Dining Out
la fitness,Health
goodlife,Health
movati,Health
fit4less,Health
planet fitness,Health
restaurant,Dining Out
gym,Health
gym membership,Health
breakfest,Dining Out
lunch,Dining Out
dinner,Dining Out
go ,Transportation
go transpo,Transportation
ttc,Transportation
enridge gas,Utilities
gas,Utilities
enridge,Utilities
fitness,Health
nobu,Dining Out
sushi,Dining Out
pizza,Dining Out
pizza hut,Dining Out
3 brothers,Dining Out
daves hot chicken,Dining Out
raising canes,Dining Out
shake shack,Dining Out
harris teeter,Groceries
wegmans,Groceries
h-e-b,Groceries
fresh market,Groceries
stop & shop,Groceries
vons,Groceries
ralphs,Groceries
sprouts farmers market,Groceries
food 4 less,Groceries
sam's club,Groceries
lidl,Groceries
bjs wholesale,Groceries
save-a-lot,Groceries
grocery outlet,Groceries
piggly wiggly,Groceries
hy-vee,Groceries
shoprite,Groceries
hoa monthly fee,Groceries
apartment deposit,Housing
pest control service,Housing
lawn care maintenance,Housing
pool service,Housing
storage unit rent,Housing
realtor commission,Housing
closing costs,Housing
bed bath & beyond,Housing
crate & barrel,Housing
pottery barn,Housing
williams sonoma,Housing
west elm,Housing
ashley furniture,Housing
zillow payment,Housing
electric bill payment,Housing
gas & electric,Utilities
water and sewer,Utilities
trash collection fee,Utilities
cell phone bill,Utilities
t-mobile wireless,Utilities
mint mobile,Utilities
cricket wireless,Utilities
solar panel lease,Utilities
recycling service,Utilities
dte energy,Utilities
con edison,Utilities
duke energy,Utilities
southern california edison,Utilities
directv,Utilities
movie ticket purchase,Utilities
live concert ticket,Entertainment
eventbrite ticket,Entertainment
steam games,Entertainment
kindle ebook,Entertainment
audible subscription,Entertainment
casino trip,Entertainment
bowling alley,Entertainment
city zoo entry,Entertainment
